"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","MOBILITY","Country of citizenship","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"MEX","Mexico","F","Female","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","M","Male","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","_T","Total","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","F","Female","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"MEX","Mexico","_T","Total","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"MEX","Mexico","F","Female","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",4927,,
"MEX","Mexico","M","Male","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",10012,,
"MEX","Mexico","_T","Total","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",14939,,
"MEX","Mexico","F","Female","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","_T","Total","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"MEX","Mexico","F","Female","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"MEX","Mexico","M","Male","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"MEX","Mexico","_T","Total","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"USA","United States","_T","Total","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"USA","United States","F","Female","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"USA","United States","M","Male","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"USA","United States","M","Male","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"USA","United States","_T","Total","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"USA","United States","F","Female","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"USA","United States","_T","Total","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
